Rank,Tiktoker name,Tiktok name,followers,views(avg),likes(avg.),comments(avg.),shares(avg.),Month
72,kane,kane,3.2M,4.6M,685.4K,2K,6.3K,December
73,future_millionaires,Future Millionaires,754.8K,5.7M,790.2K,4.1K,1.7K,December
74,kyliejenner,Kylie Jenner,50.4M,7.5M,793.1K,2.8K,1.6K,December
75,rubentuestaok,Ruben Tuesta,25.4M,5.7M,648.5K,1.9K,5.1K,December
76,ferxxo444,Feid,5.5M,3.6M,715.7K,2.9K,6.6K,December
77,onwardwanna,WannaðŸ¥Š,8.4M,4.7M,827.1K,4.8K,1.4K,December
78,montpantoja,Montpantoja,36.9M,7M,1.2M,2K,1K,December
79,nekoglai,ÐÐ¸ÐºÐ¾Ð»Ð°Ð¹,10M,4.7M,440.5K,9.3K,2.4K,December
80,esnyrrr,Esnyr,6M,5.1M,813.8K,2K,3.7K,December
81,skythedogtrainer,skythedogtrainer,31.4K,14M,1.2M,678,705,December
82,mclomaofficiall,mclomaofficial,6M,6.7M,1M,2.2K,1.2K,December
83,lechilinh88,LÃª ChÃ­ Linh,4.1M,7.5M,513.3K,4.4K,1.3K,December
84,pongamoslo_a_prueba,PongÃ¡moslo a Prueba,38.2M,7.5M,898.8K,1.8K,1.6K,December
85,nianaguerrero,Niana Guerrero,35.1M,7.9M,725.8K,2.1K,1.8K,December
86,druskitv,DRUSKI,3.8M,2.8M,533.6K,4K,10.4K,December
87,jaykindafunny8,Jaykindafunny,25M,8.4M,582.8K,2.1K,2.2K,December
88,zodiac.boyfriend,Zodiac BoyfriendðŸªðŸ”®,2.7M,4M,386.7K,7.4K,5.9K,December
89,andrewlepage23,Andrew Le Page,209K,4.4M,390.3K,3.6K,7.8K,December
90,pandkourt,Kourtney-Penelope,5M,10.1M,846K,0,2.3K,December
91,pinkpantheress,ðŸ˜˜ðŸ™ˆâ˜ºï¸,1.7M,3.4M,732.4K,5.8K,1.7K,December
92,bellapoarch,Bella Poarch,92.6M,6M,482.2K,4.8K,1.5K,December
93,thethinktok,The Think Tok,782.4K,2.8M,284.6K,5.1K,18.2K,December
94,livvy,Olivia Dunne,6.5M,4.9M,550.8K,4.6K,2.1K,December
95,falcopunch,Falco,13.2M,3.7M,522.6K,4.8K,4.4K,December
96,vibin.wit.tay,Tay,5.4M,2.5M,486.4K,3.2K,11.4K,December
