Rank,Tiktoker name,Tiktok name,followers,views(avg),likes(avg.),comments(avg.),shares(avg.),Month
305,felipenpv,Felipe Paiva,5M,2M,361K,2.5K,1.8K,December
306,itskingchris,KingChristian,18.3M,2.1M,386.3K,2.6K,1.3K,December
307,jackjos3ph,Jack Joseph,3.4M,1.7M,258.6K,3.1K,3.9K,December
308,leleburnier,LELÃŠ BURNIER,2.7M,1.8M,424.3K,3.3K,777,December
309,theacefamily,Theacefamily,6.5M,4.1M,521K,0,1.4K,December
310,vilmeijuga,VILMEIâœ¨,21.4M,3.3M,267.5K,2.1K,1.4K,December
311,divabry,âšœï¸DIVABRYâšœï¸,4.3M,2.9M,369.9K,1.5K,1.3K,December
312,jeffwittek,jeff,2M,3.9M,496.8K,526,1K,December
313,oli_natu,Oli Natu,11.2M,2.8M,361.8K,1.5K,1.5K,December
314,erictro,Eric Tro,4.9M,3.6M,397.5K,560,1.5K,December
315,mozzacella.cheez,Mozzarella Cheese,69K,2.1M,281.4K,4K,1.1K,December
316,jubiandxian,jubiandxian,6.4M,2.8M,486.9K,1.1K,1.1K,December
317,shamichef21,Shamichef,2.6M,3.7M,113.6K,2K,5.1K,December
318,arigameplays,AriGameplays,23.6M,2.9M,415.8K,1.6K,897,December
319,dudamaryah,dudamaryah,6.8M,2.4M,435.5K,1.5K,1.3K,December
320,camilo,Camilo,29.6M,4.1M,417.9K,1.2K,520,December
321,shakira,Shakira,27.3M,3.1M,305.8K,2.3K,747,December
322,axelwebber,Axel,4.4M,2.8M,384K,1.7K,1.1K,December
323,katelynrosebrown,KatelynBrown,1.9M,3.3M,375.7K,1.4K,1K,December
324,kaansanity,aakaanksh,5M,3.3M,159.9K,1.5K,4K,December
325,andresgjohnson,Andres Johnson256,4.7M,1.9M,237.6K,1.1K,5.5K,December
326,zhcyt,ZHC,15.4M,3.3M,466K,1.5K,410,December
327,cedriklorenzen,Cedrik Lorenzen,3.2M,1.3M,180K,3.6K,8.4K,December
328,emiliamernes,EMILIA,5M,3.9M,403.3K,869,920,December
329,tooturnttony,Tooturnttony,18.8M,2.9M,340.9K,2.3K,513,December
330,moisesturcioss,Moises Turciosâ“‚ï¸,1.2M,1.9M,115.9K,1.7K,10.8K,December
331,marcel.ruiz,Marcel Ruiz,303.1K,1.5M,374.5K,3.3K,1.7K,December
332,pakoyaso_,Pakoyaso,14.5M,4.2M,500.1K,758,574,December
333,phuonganhcun97,LÃª PhÆ°Æ¡ng Anh,1.6M,4M,314K,1.7K,520,December
334,emrata,Emrata,2.1M,3.4M,323K,867,1.6K,December
335,ygnazz,NAS,2.5M,2.2M,318.9K,1.7K,2.3K,December
336,twice_tiktok_officialjp,TWICE JAPAN OFFICIAL,4.8M,1.3M,276.5K,4.8K,2.9K,December
337,syifahadjuuuuuuu,Syifa Hadju,4.1M,3.3M,473.8K,1.2K,513,December
338,xule079,XÃ¹ LÃ¨O,1.8M,5.3M,235.1K,2K,213,December
339,vanessalopesr,Vanessa Lopes,26.9M,2.9M,275.6K,2.2K,1.3K,December
340,fahmi.nm,Fahmi,8.8M,3.3M,437.7K,1.2K,759,December
341,postmalone,Post Malone,14.4M,1.6M,221K,2.8K,4.9K,December
342,kekepalmer,Keke Palmer,7M,1.8M,313.9K,2.2K,2.6K,December
343,mrcaqui,Facundo Izquierdo,7.1M,1M,294.1K,1.5K,7.4K,December
344,madelineargy,madz,3.3M,3.2M,574.8K,976,463,December
345,los_chicaneros,Los_chicaneros,5.2M,2.3M,235.4K,1.5K,3.4K,December
346,kaelimaee,kaeli mae,12.4M,3.2M,435.9K,1.1K,786,December
347,sara.wais,Sara Waisglass,4.4M,2.4M,502K,1.7K,481,December
348,anas_elshayib,Ø§Ù†Ø³ Ø§Ù„Ø´Ø§ÙŠØ¨,4.6M,3.5M,182.4K,2.3K,1.7K,December
349,jjeverettrose,Jake Joseph Everett-Rose,4.3M,2.3M,375.1K,1.6K,1.5K,December
350,sauud_70,Ø³Ø¹ÙˆØ¯ Ø§Ù„Ù‚Ø­Ø·Ø§Ù†ÙŠ,2.7M,3.3M,111.7K,5.6K,1.4K,December
351,simonservidamusic,simonservidamusic,126.4K,2.3M,252K,1.8K,2.7K,December
352,itstaylerholder,Tayler Holder,20M,4.8M,301.2K,1.2K,601,December
353,rafaelsantos,Rafael Santos,19.4M,2.8M,417.3K,1.7K,497,December
354,poorlifecx,Poorlifecx,1.3M,4M,160.6K,1.9K,2.1K,December
355,retomiguel,Jen & Miguel,3.2M,2.4M,267.8K,564,3.5K,December
356,johnsonfiles,The Johnson Files,296.6K,1.6M,181.5K,476,8.3K,December
357,yura.yunita,Yura Yunita,1.1M,2.7M,340.6K,1.6K,1.2K,December
358,islasvlogs_,Islas Vlogs,2.8M,4.1M,445.1K,740,638,December
359,cardncyn,Carddd,4.9M,4M,589.2K,682,383,December
360,pkllipe,Pk,20.1M,2M,422.2K,1.2K,1.7K,December
361,gregoriopernia,gregorioperniaoficial,5M,3M,195.4K,2.5K,1.7K,December
362,adrianbliss,Adrian Bliss,7.6M,2.8M,444K,576,1.4K,December
363,joycaledelire,JoycaLeDelire,3.6M,2M,325.6K,1.6K,2.2K,December
364,andy.and.michelle,Andy & Michelle,6.1M,2.7M,328.5K,1K,1.8K,December
365,nalgalia.g,natiðŸ‘½,15.8M,5.6M,393.3K,666,449,December
366,libardoisaza,Libardo Isaza,20M,4M,455.1K,1K,350,December
367,tonyeffebaby777,tonyeffebaby777,674.5K,2.2M,304.6K,1.3K,2.3K,December
368,avascreams,ava,1.3M,1.8M,367.7K,2.7K,956,December
369,febrastanty,Febbyrastanty,1.2M,4.6M,250K,1K,1.1K,December
370,leigh_mcnasty,Leigh McClendon,3.6M,1.5M,175.6K,1.6K,7.5K,December
371,yazidzohri,Yazid Zohri,2.8M,1.5M,96.1K,14.2K,2.3K,December
372,jaynagy,JAY JAMES NAGY,8.8M,1.3M,171.8K,601,9.8K,December
373,viraltvro,Viral Videos,249.7K,3.7M,111.8K,927,4.8K,December
374,yurinya1128,ã‚†ã‚Šã«ã‚ƒ,795.5K,4M,194.7K,2.1K,887,December
375,kehlani,Kehlani,4.1M,2.2M,320.5K,1.9K,1.5K,December
376,jameshenry,James Henry,4.1M,4.9M,446.2K,424,640,December
377,mdrr05,ðŸ‡©ðŸ‡¿Ù…Ø±ÙˆØ§Ù† Ø§Ù„Ø¨Ø§ØªÙ†ÙŠðŸ˜‚,3.2M,2.4M,125.9K,1.6K,6.2K,December
378,e_l_k_s_a_7_a,ðŸ”± Ø§Ù„ÙƒØ³Ø§Ø­Ù‡ ðŸ”±,7.5M,2.2M,245.4K,2.4K,1.9K,December
379,pete_pamana,petepamana,3.3M,1.9M,225.6K,3.6K,1.6K,December
380,suavexavier,Savyy,13.4M,1.9M,312.7K,2.4K,1.4K,December
381,voronina_valeria_,Valeria Voronina,4.2M,4.9M,278.1K,969,698,December
382,anna..paull,Anna Paul,5.8M,2.7M,460.4K,1.5K,326,December
383,jairitosolano,jairito,2.3M,4.4M,306.3K,674,983,December
384,axelviewoficial,AxelView,4.2M,1.8M,186K,999,5.6K,December
385,kallmewhateveryouwant,kallmewhateveryouwant,11.7M,1.9M,362.8K,2.8K,415,December
386,dennysumargoreal,DENNY SUMARGO,3.8M,4.2M,217.6K,1.6K,832,December
387,barak.ff,Barak.ff,234K,1.6M,178.9K,5.2K,2.4K,December
388,thelandofboggs,The Land Of Boggs,6M,2.5M,350.9K,518,2K,December
389,isramy,Ramy Chaaban,3.8M,2.2M,314.4K,1.5K,1.6K,December
390,agilmarferreira,Agilmar Ferreira,1.6M,3M,225.1K,627,2.6K,December
391,rauwalejandro,rauwalejandro,12.7M,4.3M,215.2K,1K,1.3K,December
392,t_400,Ø¬ÙˆÙ‚ÙŠðŸ’š,4.2M,2.1M,212K,2.9K,1.9K,December
393,sarbeeston,Sarah Beeston,4.2M,3.1M,316K,1.6K,541,December
394,herranwalt,Herr Anwalt,6M,1.9M,262.4K,2K,2.3K,December
395,2ndshuichiro,2nd ä¿®ä¸€æœ—,376.4K,4M,126.8K,922,3.3K,December
396,elbernas321,BernaVeo2010,2.5M,1.1M,121.7K,471,15.4K,December
397,lisefalfio,Lisef Alfio,2M,2.3M,217.3K,847,3.4K,December
398,strangehuman,nova,11.4M,2.3M,322.2K,1.4K,1.5K,December
399,yurilamasbella,Yuri Lamasbella,2.8M,1.7M,191.6K,2.7K,3.8K,December
400,darrellthorne,Thornedarrell,911K,2.3M,254.1K,1.3K,2.3K,December
401,farhanrn__,FARHAN,5.9M,2.4M,331.8K,1.5K,1.1K,December
402,self.videos,self.videos,723.3K,3.7M,472.7K,694,488,December
403,cindy.or1,cindy.or,132.5K,1.7M,416.1K,1.2K,1.7K,December
404,iniganta,Ganta ðŸ®,1.7M,2.3M,195.5K,3K,1.6K,December
405,morganpresleyxo,Morgan Presley,5.5M,2.4M,389.6K,744,1.4K,December
406,johaanzu,JohaanZu,4.4M,2.5M,319.6K,1.3K,1.2K,December
407,minami.0819,ðŸ¦„ðŸ’™MINAMIðŸ’™ðŸ¦„,1.8M,1.2M,161.9K,8.8K,1.6K,December
408,thebandmcmillan,The Band McMillan,896.9K,2.5M,212.6K,1.7K,2.1K,December
409,lee.cuong,Lee CÆ°á»ng,1.2M,3.9M,151.3K,1.9K,1.5K,December
410,cesarpantoja.n,Cesar Pantoja,15.2M,3.5M,391.5K,1.2K,266,December
411,zachlanebryan,Zach Bryan,1.3M,958.4K,212.8K,2.4K,7.3K,December
412,mattchessco,Matt Chessco,2.7M,15M,151.3K,656,213,December
413,losariasbrothers,Los Arias,1.6M,1.8M,261K,637,3.7K,December
414,karna.val,ðŸŽ€ÐšÐÐ ÐÐÐ’ÐÐ›ðŸŽ€,24.8M,2M,196.4K,3.1K,2K,December
415,jdiasss_,JoÃ£o Dias,8.2M,1.7M,382.3K,1.8K,1.2K,December
416,realfunnymarco,FunnyMarco,1.8M,1.2M,154K,2.5K,7.8K,December
417,pierson,Pierson,14.2M,2.7M,331.3K,1.9K,211,December
418,jonata_26,Jonata,6.9M,2.4M,354K,663,1.6K,December
419,isaiahgarza,Isaiah Garza,8M,1.7M,269.2K,2.8K,1.4K,December
420,kessel_nathan_official,Nathan Kessel,9.1M,2.6M,169.6K,758,3.6K,December
421,soy_marcela4,Soy_marcela,5.4M,1.7M,295.5K,722,3K,December
422,fedevigevani,Fede Vigevani,15.4M,2.2M,284K,2.5K,491,December
423,chourouk.model_official,Chourouk_model_official,6M,4M,207.4K,760,1.5K,December
424,thecoreyb,Corey B,9M,1.2M,174.6K,977,8K,December
425,artistadasencasa,artistadas en casa,6.2M,5.1M,294.4K,450,783,December
426,isandrep,andreina perdomo,4.3M,6.2M,233.2K,918,362,December
427,sabrinacarpenter,Sabrina Carpenter,13.3M,1.6M,386.3K,2.2K,843,December
428,dina_kalanta,Dina_Kalanta,3.9M,3.8M,196.1K,1.6K,821,December
429,brittikitty,Brittany & Lily,15M,2.4M,326.7K,1.3K,1K,December
430,nelkboys,NELKBOYS,4.3M,2.2M,168.1K,1.6K,3.3K,December
431,ailaughatmyownjokes,"it's a me, Silvia :)",2.5M,1.4M,254.4K,1.3K,3.8K,December
432,kpifthatscool,KP Parker,293.1K,1.4M,277.1K,3.1K,1.4K,December
433,miguelmartinezoficial,MiguelMartinez,2.1M,3.2M,131.5K,517,3.7K,December
434,vidhia_r,ðŸ‡Vidhi_RðŸ‡,7.7M,1.4M,163.4K,5.3K,2.8K,December
435,shayvise,Shayvise,4.3M,2.4M,366.7K,1.7K,269,December
436,christiaancaarrasco,christianâœŒðŸ¼,11K,1.2M,153.9K,770,8.7K,December
437,jessie.shen,Jessie,6.8M,2.7M,338.6K,1.3K,686,December
438,andydesu,Andy Watabe,622.9K,2.6M,301.2K,1.2K,1.1K,December
439,jahkhalib,Jah Khalib,857.4K,1.8M,249.5K,957,3K,December
440,meghantrainor,Meghan Trainor,16.1M,3.8M,272.3K,1.2K,477,December
441,leozitorocha1,Leozito Rocha,1.7M,1.2M,121.7K,2K,9.8K,December
442,bequietjoe,joe hegyes,121.5K,2.9M,269.3K,906,1.3K,December
443,fatkitchens,Fatkitchens,27.6K,2.8M,149.4K,530,3.6K,December
444,annecurtissmith,Anne Curtis,1.8M,2.1M,368.1K,1.2K,1K,December
445,theshabakitchen,The Shaba Kitchen,2.5M,1.8M,153.5K,2.4K,3.8K,December
446,dafnnejm,dafnne â˜»,5M,2.6M,520.1K,812,473,December
447,namemnjtv12,MNJ TV(à¸•à¸±à¸§à¸ˆà¸£à¸´à¸‡),7.6M,3.3M,285.6K,1.5K,346,December
448,kingbach,KingBach,27.7M,2.1M,316.5K,673,1.9K,December
449,bradtheboxer,Just brad,2.5M,2.4M,147.8K,1.6K,3.3K,December
450,slick.stevie,Steve,3.3M,1.7M,243.7K,442,3.6K,December
451,lexbra,Lexbra.yt,768.6K,5.8M,329.1K,700,176,December
452,imarayulloa1,Tik Toker,4.9M,1.7M,125K,1.5K,6.6K,December
453,miguelito_peru,Miguel Alessandro,2.7M,1.9M,156.4K,953,4.6K,December
454,cv.wo,Ù…Ø­Ù…Ø¯ Ø§Ù„Ø£Ù…ÙŠØ±,608.8K,2M,116.8K,3.3K,3.8K,December
455,thinhung99,Thá»‹ Nhung,6.5M,1.7M,189.7K,4.8K,373,December
456,ltripping,ltripping,62.2K,2.2M,229.2K,1.2K,2.1K,December
457,jose_arrt,JosÃ©,2.3M,3.8M,149.1K,2.4K,518,December
458,chefschwarz,Chefschwarz,4.7M,1.8M,217.6K,1.7K,2.4K,December
459,mamalindy,Lindy and Jlo,14M,3.3M,243.8K,1.1K,880,December
460,nessaabarrett,Ness,19.8M,2.6M,257.4K,1.2K,1.3K,December
461,keisyaleprongka,keisya levronka,602.1K,6M,161.7K,534,1.1K,December
462,carolcastromx,Carol Castro,13.5M,3.8M,368.1K,856,295,December
463,mikaylanogueira,Mikayla Nogueira,13.8M,2.4M,278.3K,1.9K,498,December
464,hesfinatia,PINATðŸ…|| IG: @hesfinatia,9.6M,4.1M,361.3K,819,264,December
465,spriteder_spd,Prite Netijen Netirattanapaiboon,5.3M,4.2M,416.7K,666,258,December
466,ms.mawma,CERTIFIED LEOO,611.4K,1.1M,297.5K,2.6K,2.3K,December
467,daz_black,daz_black,7.7M,1.4M,272.4K,2K,2.1K,December
468,nathaliavalente,Nathalia,15.1M,2.7M,344.4K,1.3K,436,December
469,hoaa.hanassii,ÄÃ o LÃª PhÆ°Æ¡ng Hoa,13.2M,2.9M,250.2K,1.4K,807,December
470,cznburak,cznburak,66.3M,3.2M,205.1K,1.7K,681,December
471,priv_mav,MAV ðŸ¦¦,8.1M,2.7M,290.8K,588,1.4K,December
472,christophersturniolo,Christopher Sturniolo,4M,1.5M,243.4K,2.8K,1.4K,December
473,jimena.jimenezr,Jimena,25.7M,2.3M,353.5K,900,1K,December
474,duolingo,Duolingo,5.3M,1.2M,186.9K,5.8K,1.2K,December
475,mariolcalderon,Mario Calderon,2.3M,731.2K,169.9K,2.6K,9.9K,December
476,davidyrodriguez,That French Guy,8.3M,1.8M,352.8K,1.7K,771,December
477,sharky,Sharky ðŸ¦ˆ,1.1M,1.7M,294.9K,2K,1.2K,December
478,manja_faiez,Manja,1.3M,1.8M,218K,2.1K,2K,December
479,justicia_y_verdad,justicia y verdad,43.5K,1.9M,76.1K,1.6K,9K,December
480,nhuchuu0909,NhÆ° Chuu ðŸŽ€,1.8M,5.5M,327.9K,643,200,December
481,logfive,Logan,2.8M,2M,195.2K,1.4K,2.6K,December
482,drewafualo,Drew Afualo,7.8M,1.7M,261.7K,3.1K,391,December
483,williamlast_krm,William Last KRM,9M,2.1M,174.1K,2.5K,1.6K,December
484,datdo0803,Äá»— Äáº¡t,7.7M,3.2M,298.2K,1.1K,437,December
485,luis_sal,Luis,593.3K,1.4M,211.2K,1.5K,3.6K,December
486,realjohnmaggi,John Maggi,1M,1.1M,240.9K,2.4K,3.2K,December
487,mammybanter,Mammy Banter,1.8M,1.1M,126.8K,1.5K,9.6K,December
488,lorrayneoliveiraofc,Lorrayne Oliveira,6.2M,2M,245.3K,2.7K,248,December
489,ben,ben,5.2M,3.6M,271K,1K,460,December
490,abbieherbert,AbbieHerbert,14.4M,3.6M,406K,698,301,December
491,jadethirlwall,Jade Thirlwall,2M,2M,243.4K,2.4K,646,December
492,thewizardliz,Thewizardliz,2.3M,2M,335.4K,679,1.5K,December
493,braclya,Brady Arthur,646.8K,1.7M,186.1K,2.1K,2.5K,December
494,giannis_an34,Giannis Antetokounmpo,3.9M,2.3M,380.1K,960,698,December
495,landonbarkerr,Landon Barker,4.4M,2.4M,365.2K,1.2K,438,December
496,unlabeled_,Paula ðŸ„,1.4M,2.4M,399.9K,923,577,December
497,bryansant_,Bryan Sant,2.1M,1.3M,250.9K,1.5K,3.1K,December
498,equipedefrance,Equipe de France,9M,2.7M,252.9K,1.2K,918,December
499,morgandrinkscoffee,Morgan Eckroth,5.8M,2.7M,523K,612,385,December
500,notorious_foodie,Notorious Foodie,2.9M,2.1M,165.6K,763,3.3K,December
501,ayanakamachi,ä¸­ç”ºç¶¾,1.5M,3M,230.4K,1.1K,897,December
502,katiessigmond,katie sigmond,7M,2.3M,330.6K,967,863,December
503,missdouaa.officiel,missdouaa,9.7M,2.5M,186.5K,1.5K,1.4K,December
504,kenti.best.boi,kenti ðŸ¸,1.3M,1.3M,263.9K,1.9K,2.1K,December
505,gensho_yasuda,å®‰ç”°ç¾è±¡ðŸ§¬ã‚¯ãƒ©ãƒ•ã‚¡ãƒ³ä¸­ï¼,2.5M,2.4M,315.1K,775,1.1K,December
506,matt_mathews,Matt Mathews,2.9M,1.2M,163.8K,3.4K,3.6K,December
507,guavajuice,guava,7.1M,3.4M,269K,1.3K,180,December
508,im_rawan0,Ø±ÙˆØ§Ù†|Rawan,3.1M,2.9M,168.8K,2.2K,681,December
509,mariavaniamv,Maria Vania,5.4M,3.7M,144.5K,1.2K,1.3K,December
510,isaach.p,Isaac H.P,3.5M,970.1K,162.6K,7.3K,1.4K,December
511,samhurley,SAMHURLEYðŸŒŠ,3.6M,1.2M,277K,2.2K,1.8K,December
512,keemokazi,KEEMOKAZI,31.8M,3.3M,306.2K,1K,322,December
513,argento_oficial,Argento Oficial,88.9K,1.3M,140K,1.3K,6.1K,December
514,chikakiku,ðŸ–¤ðŸ™†ðŸ»â€â™€ï¸âœ¨ðŸ§šðŸ»,8.6M,4.5M,230K,536,759,December
515,karenbarreraoficial,Karen Barrera,16.7M,2.7M,329K,360,1.1K,December
516,omgitsmiahhhhh,miah :),76.9K,1M,272.3K,3.5K,1.4K,December
517,realnikocadoavocado,Nikocado Avocado,2M,1.8M,103.5K,3.6K,3.7K,December
518,fayneee,Unaverage Student,3.1M,2.4M,193.1K,2.3K,599,December
519,joe.bartolozzi,Joe Bartolozzi,21M,1.8M,301.6K,1.9K,492,December
520,adrian.uribe,AdrianUribe,4.1M,1.4M,187.7K,1.7K,3.3K,December
521,abo.zizo,Û©â™¥Û© Ø¹Ø§Ø¦Ù„Ø© Ø§Ø¨Ùˆ Ø²ÙŠØ²Ùˆ Û©â™¥Û©,6M,3.5M,174.1K,843,1.3K,December
522,oldtimehawkey,Old Time Hawkey,6.7M,1.4M,207.4K,2.1K,2.4K,December
523,maiaknight,Maia Knight,8.8M,2.7M,485.7K,700,301,December
524,incorrectlyroce,Roce OrdoÃ±ez,9.2M,2.4M,385.7K,779,634,December
525,manhtienkhoi_,Máº¡nh Tiáº¿n KhÃ´i ðŸ¯,5.3M,2.1M,170.1K,2.5K,1.1K,December
526,vhackerr,Vinnie,15.2M,1.6M,263.3K,2.2K,856,December
527,olivertree,Oliver Tree,14.5M,2.9M,253.6K,1.2K,568,December
528,cravityofficial,CRAVITY,1.8M,1.3M,262.6K,2.3K,1.6K,December
529,millyshaparoni,Milly Shapiro,466.7K,3.1M,444.3K,646,282,December
530,fionntime,FionnTime,2.7M,1.7M,287.9K,1.4K,1.3K,December
531,tarynbeeman,Taryn Beeman,62.2K,1.4M,263.7K,1.1K,2.3K,December
532,yurielkysojeda,Yurielkys Ojeda ðŸ•·,15.7M,1.7M,246.3K,967,2K,December
533,caseysimpson,Casey Simpsonâœ¨,10.1M,1.7M,379K,1.1K,938,December
534,anggun_supriadi91,anggunâœ¨,19.4M,5.5M,143.8K,969,628,December
535,babyziela,puteriakie33,1.1M,1.6M,65K,7.6K,4.8K,December
536,tai.tl2,tai_tl,1.1M,1M,201.4K,2K,4.2K,December
537,douhalaribiii,Douha laribii,9.7M,2.6M,237.8K,1.5K,533,December
538,dan_churchill,The Healthy Chef,407.1K,3.4M,452K,654,154,December
539,ryanmackmusic,Ryan Mack,1.8M,1.2M,163.2K,1.1K,5.5K,December
540,ivancornejooo,Ivan bruh,1.6M,902.7K,224.7K,3.2K,2.9K,December
541,lana_mohd89,ð‘³ð‘¨ð‘µð‘¨ ðŸ¦‹,6.2M,2M,138K,2.1K,2.5K,December
542,jujumaoo,Juju,701.5K,2.4M,254.6K,671,1.3K,December
543,petruskaksurtep,Petruska,1.7M,2.2M,300.2K,1K,824,December
544,justthenobodys,JustTheNobodys,9.2M,2.7M,171.8K,1.8K,847,December
545,andyslife247,Andyâ€™s Life,2.2M,2.5M,228.7K,1.6K,537,December
546,fhd.artz,ÙÙ‡Ø¯ Ø¢Ø±Øª || FahadðŸŽ¨,2.4M,2.5M,164.5K,1.1K,1.9K,December
547,fahryy20,A Fahry,1.8M,1.9M,345K,1.3K,574,December
548,grandma_droniak,grandma_droniak,6M,1.5M,218.2K,1.4K,2.3K,December
549,letskwoowk,KWOOWK with Kevin,3.3M,1.5M,175.7K,4K,597,December
550,mamatot99,Opie,1.7M,1.2M,162.9K,5.8K,622,December
551,deshawnharrisss,Deshawn âœª,2.1M,1.1M,190.9K,1.4K,4.2K,December
552,ryanhdlombard,Ryan Lombard,9.8M,1.9M,362.8K,1K,723,December
553,nadia,Nadia,3.3M,2.5M,172.6K,1.7K,1.1K,December
554,juliano,juliano,11.4M,2.8M,322.7K,772,574,December
555,sonrixs_,Sonrixs,15.2M,3.5M,358.1K,526,410,December
556,pimpiriya1,PIM PIRIYA,1.5M,2.1M,411.2K,696,654,December
557,nada_m7amed,Ø¯ÙˆØ¯Ø§ðŸ¦¹ðŸ»ðŸ¤,6.6M,2.3M,215.8K,928,1.4K,December
558,zainah.mb,Zainah & Minnie,2.1M,1M,241.3K,996,3.8K,December
559,rl.carbona,rl carbona,1.3M,1.7M,257.3K,1.5K,1.1K,December
560,msshiandmrhe,Ms Shi & Mr He,3.9M,2.5M,278.1K,924,719,December
561,yunggravy,Yung Gravy ðŸ¯,7M,1.8M,313.1K,925,1.1K,December
562,kaylamalecc,kayla,9.7M,1.9M,297.7K,1.8K,155,December
563,twinny__girls,Prisma_PrincyðŸ‘­,7.3M,1.9M,181.7K,2.5K,677,December
564,beca,beca,27.5M,2.3M,237.2K,1.4K,635,December
565,danivallem,Dani Valle,5.4M,1.1M,79.5K,589,12.1K,December
566,taylorrandsoph,TAYLOR & SOPHIA,3.9M,1.8M,266.6K,827,1.5K,December
567,analuciadominguezactriz,Analuciadominguez,3.4M,1.8M,136K,428,4.2K,December
568,thaycouuto,Thay Couto,4.2M,1.8M,344.8K,923,832,December
569,otakoyakisoba,otakoyakisoba,16M,2M,181.6K,676,2.3K,December
570,aurikatariina,á´€á´œÊ€Éª âœ¨,8.1M,3.4M,266.6K,474,722,December
571,krizzsolano,Krizz Solano,90K,1.1M,194.5K,339,4.7K,December
572,qpark,Q Park,34.6M,2.7M,183.3K,1K,1.2K,December
573,hiib531,Ù‡Ø¨Ø© Ø§Ù„ÙŠÙˆÙØ³Ù,1M,5.2M,104.8K,1.1K,909,December
574,dilanjaniyar_2,Emang Dilan namanya,2.7M,2.1M,229.9K,1.5K,688,December
575,h2woofficial,H2WO,5M,3.1M,275.6K,641,636,December
576,xibibrothers,Xibi Brothers,8.9M,2.9M,247.3K,705,786,December
577,khairulaming,Khairulaming,2.3M,1.9M,182.7K,1.4K,1.7K,December
578,jennialarcon_,Jenni Alarcon,4M,1.9M,368K,978,536,December
579,thepsh8,Psh8,1.1M,1.3M,241.3K,1.6K,1.7K,December
580,topperguild,Topper Guild,30.4M,3.2M,165.7K,1.8K,209,December
581,maluborgesm,MALU BORGES,3.7M,1.2M,214.2K,3.3K,775,December
582,kunaguero,Sergio AguÌˆero,8.5M,2.6M,258K,1.1K,499,December
583,sanzone,Michael Sanzone,3.2M,2.5M,382K,434,659,December
584,lauralove5514,LauraLove,7.8M,1.9M,315.3K,1.4K,417,December
585,www.luluca,luluca ðŸ’—,2.9M,1.2M,121.5K,5.2K,1.9K,December
586,philiptanasas,philiptanasas,9.5M,3.1M,266.1K,815,441,December
587,cemresolmaz,cemre solmaz,10.5M,2.1M,123.6K,2.9K,1.1K,December
588,trevorwallace,trevor wallace,9.3M,1.3M,242.1K,709,2.6K,December
589,tavi_castro,Tavi Castro,308.4K,1.9M,219.4K,1.1K,1.4K,December
590,jakekrantz,Jake Krantz,2.5M,1.1M,187.2K,687,4.2K,December
591,rodigarrido,Rodi Garrido,2M,2.2M,114.7K,469,3.6K,December
592,noholito,Noholito,5.6M,1.8M,240.6K,1.3K,1.1K,December
593,yasincengiz38,YasinCengiz,4.1M,2.1M,112.8K,1.4K,2.9K,December
594,carenalegria,Caren y Coco â™¥ï¸,3M,2.1M,139.7K,2.4K,1.1K,December
595,dobretwins,Lucas and Marcus,37.1M,2.8M,227.5K,1.2K,406,December
596,nazormaya,Maya Nazor,6.3M,3.6M,271K,837,206,December
597,karenkardasha,Karenkardasha,2.1M,1.4M,121K,3.7K,2.4K,December
598,pedroarcafra,PEDRO ARCAFRA,3.1M,930.9K,67.5K,1.4K,14.8K,December
599,brilionaire,Bang Bioâœ¨,4.8M,1.5M,209.7K,684,2.5K,December
600,com.yamato0515,ã€ã‚³ãƒ ãƒ‰ãƒƒãƒˆã€‘ã‚„ã¾ã¨,1.9M,1.3M,158.7K,3.6K,1.3K,December
601,ryan.maxwell22,Ryan Maxwell,3.1M,1.4M,200.1K,510,3.1K,December
602,tuckot,tuck,2.8M,892.7K,140.2K,1K,7K,December
603,kanwal.135,KanwalayðŸŽ¶,17.1M,2.7M,249.9K,978,503,December
604,darklightcr,Dark Light,2.1M,2.4M,114.1K,899,2.8K,December
605,vienhz,á´á´‡ÊŸá´ ÉªÉ´Êœá´€êœ±á´€É´â˜¯,29.8K,2.4M,222.7K,990,856,December
606,bessan_esmail,Ø¨ÙŠØ³Ø§Ù† Ø§Ø³Ù…Ø§Ø¹ÙŠÙ„ - Bessan Ismail,12.1M,2.3M,137.8K,1.9K,1.2K,December
607,wigofellas,wigofellas,35M,2.9M,172.1K,920,1.1K,December
608,victormelo,Victor Melo,22.9M,1.7M,260.1K,1K,1.2K,December
609,abo_qamae,Ø§Ø¨Ùˆ Ù‚Ù…Ø§Ø¹ðŸ™‚â¤ï¸,2.2M,2M,177.6K,1.6K,1.2K,December
610,junpei.zaki,junpei zaki,15.2M,924.9K,73K,14.3K,87,December
611,connorprice__,Connor Price,3.7M,2M,240.8K,1.2K,811,December
612,chris,Chris Olsen,9.3M,2.3M,333.1K,816,441,December
613,sidetalknyc,Sidetalk,4.4M,1.2M,190.3K,476,3.7K,December
614,boywithuke,boywithuke,6.8M,1.4M,310.5K,1.9K,343,December
615,n.vv3,Ù†Ø§ØµØ± || ðŸ‡¸ðŸ‡¦ alsubaie,5.1M,1.8M,106.5K,3K,2K,December
616,siganviendo59,jeancarlo MTB,11.2M,2.4M,187.9K,1.3K,856,December
617,forrestsautoreviews,Forrest Jones,5.6M,1.4M,194.4K,1.2K,2.3K,December
